FACULTAD	ESCUELA	NOMBRE CURSO	MODO	CICLO	GRUPO	PLAN	CREDITO	HT	HP	TOTAL HORAS	HORAS LECTIVAS	MODALIDAD	DOCENTE	AFORO POR CURSO Y GRUPO	AMBIENTE ESPECIALIZADO
Psicología	Psicología Clínica	Teoría del Aprendizaje	Virtual	1	1	2025-1	3	2	2	4	64	Presencial	Juan Pérez	40	Aula
Psicología	Psicología Clínica	Psicología del Desarrollo	Híbrido	1	1	2025-1	3	2	2	4	64	Presencial	María García López	40	Aula
Psicología	Psicología Clínica	Métodos de Investigación	Virtual	1	2	2025-1	3	2	2	4	64	Presencial	Juan Tomás Pérez Del Aguila	40	Aula
Psicología	Psicología Clínica	Estadística Básica	Presencial	1	2	2025-1	3	2	2	4	64	Presencial	Carlos Rodríguez	40	Aula
Psicología	Psicología Educativa	Psicopedagogía	Presencial	2	1	2025-1	3	2	2	4	64	Presencial	Ana Martínez Gómez	35	Aula
Psicología	Psicología Educativa	Didáctica General	Virtual	2	2	2025-1	3	2	2	4	64	Presencial	Roberto López Flores	35	Aula
Psicología	Psicología Organizacional	Gestión Laboral	Presencial	3	1	2025-1	3	2	2	4	64	Presencial	Sofia Díaz	30	Aula
Psicología	Psicología Organizacional	Clima Organizacional	Híbrido	3	1	2025-1	3	2	2	4	64	Presencial	Luis Fernández	30	Aula
Psicología	Psicología Social	Psicología Comunitaria	Presencial	4	1	2025-1	3	2	2	4	64	Presencial	Patricia Sánchez	25	Aula
Psicología	Psicología Social	Cambio Social	Virtual	4	1	2025-1	3	2	2	4	64	Presencial	Miguel Quispe Condori	25	Aula
